companyName,industryField,positionName,jobNature,createTime,financeStage,companyLabelList,companySize,city,district,positionType,education,positionAdvantage,Salary,salaryMax,salaryMin,salaryAvg,workYear
蛮蛮云计算,移动互联网,产品经理（云计算）,全职,2017-05-10 08:40:21,成长型(A轮),"['专项奖金', '带薪年假', '通讯津贴', '定期体检']",50-150人,北京,朝阳区,产品/需求/项目类,大专,"期权,氛围好,潜力",10k-15k,15,10,12.5,3-5年
联创集团信通科技,"移动互联网,教育",Java开发工程师,全职,2017-05-10 08:40:10,成长型(不需要融资),"['节日礼物', '带薪年假', '补充医保', '补充子女医保']",150-500人,南京,建邺区,开发/测试/运维类,本科,"五险一金,带薪年假,餐饮补贴,补充医疗",5k-10k,10,5,7.5,1-3年
YY Inc,移动互联网,Java开发工程师,全职,2017-05-10 08:39:31,上市公司,"['技能培训', '节日礼物', '无息贷款', '绩效奖金']",2000人以上,广州,None,技术,本科,"核心部门,包餐下午茶,13+奖金,每年旅游",13k-25k,25,13,19.0,不限
智贝星商城,"电子商务,硬件",ios,全职,2017-05-10 08:39:27,初创型(天使轮),"['专项奖金', '股票期权', '交通补助', '通讯津贴']",15-50人,盐城,建湖县,开发/测试/运维类,大专,轻松的氛围,5k-8k,8,5,6.5,1-3年
泽宇,其他,外贸专员,全职,2017-05-10 08:39:12,成熟型(C轮),"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",150-500人,深圳,光明新区,市场/商务/销售类,大专,"发展空间大,工作环境好,福利待遇高",5k-8k,8,5,6.5,不限
阳光互联网金融中心,金融,家装风控政策,全职,2017-05-10 08:39:05,成熟型(不需要融资),"['绩效奖金', '五险一金', '通讯津贴', '交通补助']",2000人以上,北京,朝阳区,金融类,本科,"项目制,发展空间大",15k-30k,30,15,22.5,3-5年
笨鸟社交深圳分公司,"移动互联网,社交网络",网络爬虫工程师,全职,2017-05-10 08:38:55,成长型(A轮),"['股票期权', '带薪年假', '通讯津贴', '年终分红']",50-150人,深圳,南山区,开发/测试/运维类,硕士,"完成A轮,行业前景好",15k-30k,30,15,22.5,1-3年
天涯社区,"移动互联网,社交网络",ios开发工程师,全职,2017-05-10 08:38:51,上市公司,"['五险一金', '交通补助', '带薪年假', '节日礼物']",500-2000人,海口,None,技术,本科,福利待遇优厚,8k-16k,16,8,12.0,3-5年
博博科技,"移动互联网,数据服务",出纳,全职,2017-05-10 08:38:51,初创型(不需要融资),[],15-50人,长沙,岳麓区,综合职能类,大专,"双休,五险一金,年终奖,下午茶点",2k-4k,4,2,3.0,1-3年
师悦科技,"移动互联网,教育",前端工程师,全职,2017-05-10 08:40:57,初创型(未融资),"['带薪年假', '交通补助', '定期体检', '午餐补助']",50-150人,西安,未央区,开发/测试/运维类,本科,"期权奖励,项目提成,带薪调休,五险一金",6k-12k,12,6,9.0,不限
智森科技,"移动互联网,电子商务",诚聘.net程序员,全职,2017-05-10 08:40:28,初创型(未融资),"['技能培训', '带薪年假', '岗位晋升', '年度旅游']",50-150人,郑州,郑东新区,技术,不限,奖金 绩效 公司内部聚会 不定时外出旅游,7k-10k,10,7,8.5,1-3年
蛮蛮云计算,移动互联网,招商总监,全职,2017-05-10 08:40:21,成长型(A轮),"['专项奖金', '带薪年假', '通讯津贴', '定期体检']",50-150人,北京,朝阳区,市场/商务/销售类,本科,"期权,团队氛围,平台机会",15k-20k,20,15,17.5,3-5年
联创集团信通科技,"移动互联网,教育",运维工程师,全职,2017-05-10 08:40:09,成长型(不需要融资),"['节日礼物', '带薪年假', '补充医保', '补充子女医保']",150-500人,乌鲁木齐,水磨沟区,开发/测试/运维类,大专,"五险一金,补充医疗,补贴",5k-8k,8,5,6.5,1-3年
智贝星商城,"电子商务,硬件",web,全职,2017-05-10 08:39:27,初创型(天使轮),"['专项奖金', '股票期权', '交通补助', '通讯津贴']",15-50人,盐城,建湖县,开发/测试/运维类,大专,极具挑战性,10k-12k,12,10,11.0,1-3年
阳光互联网金融中心,金融,消费分期审批负责人,全职,2017-05-10 08:39:05,成熟型(不需要融资),"['绩效奖金', '五险一金', '通讯津贴', '交通补助']",2000人以上,北京,朝阳区,金融类,本科,五险一金,15k-25k,25,15,20.0,5-10年
笨鸟社交深圳分公司,"移动互联网,社交网络",python工程师,全职,2017-05-10 08:38:55,成长型(A轮),"['股票期权', '带薪年假', '通讯津贴', '年终分红']",50-150人,深圳,南山区,开发/测试/运维类,本科,海量数据,15k-30k,30,15,22.5,不限
博博科技,"移动互联网,数据服务",运营客服,全职,2017-05-10 08:38:49,初创型(不需要融资),[],15-50人,长沙,岳麓区,运营/编辑/客服,不限,"双休,五险一金,年终奖,餐补",2k-4k,4,2,3.0,1-3年
天涯社区,"移动互联网,社交网络",Android工程师,全职,2017-05-10 08:38:47,上市公司,"['五险一金', '交通补助', '带薪年假', '节日礼物']",500-2000人,海口,None,技术,本科,福利待遇优厚,8k-15k,15,8,11.5,3-5年
